CountyName,proportion_xlandsc,proportion_xwatersc,proportion_grev_sc,proportion_xland,proportion_xwater,proportion_gross_revenue_base
Alameda,1853.6602343579998,4800.11319867,5272864.557084,1863.051920029,4872.710693437,5287545.194897
Amador,5327.714291859,14897.607278082,13346080.633401,5345.297165995999,15064.785654936,13330852.396018002
Butte,30007.63471453778,115226.9444165413,87842548.43161443,34371.548831831,134208.614137254,95701164.4038002
Calaveras,18680.420325166,56081.46137014,74778618.09363,18799.553407469,56765.5792243,75274145.49404
Colusa,75982.9215488088,261553.3935486175,230392871.24691615,167236.23877761,646901.781240943,385724097.78664887
Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado,0.0,0.0,0.0,0.0,0.0,0.0
Fresno,91732.781054331,334063.767307112,613389938.6687604,103880.032241096,370084.297335057,649360771.9790742
Glenn,47031.77657697617,156455.84399633104,150267003.52166057,73265.699371454,265153.235170922,195100056.483455
Kern,35706.005348938656,142270.99656216218,244582622.66756165,38855.682586167,152319.1348922,253159973.9531741
Kings,131275.24581154514,462655.1152410316,601493415.0309215,156073.861905598,535199.157552516,644954010.6266536
Madera,28772.462531268,105187.291637784,135582768.197971,29738.683693314,109198.116768024,139327287.542895
Mariposa,627.259910931,2143.270344133,2299153.8352427,657.068860937,2276.9212784359997,2351417.0333148
Merced,112529.001072247,375925.71331511904,411685581.1093879,118543.013159126,399080.842580269,425118730.2906419
Placer,4253.972153258798,14084.867761908517,8248952.966489682,5407.318523328,18926.417819948,10085017.882327
Sacramento,34192.44962214026,96959.79141370617,80401868.54943374,36374.908060654,105641.396740012,83580519.517576
San Benito,301.444323254,964.889355851,1291147.2448136,336.73263383200003,1079.878399726,1405803.807974
San Joaquin,163679.213139662,478358.557713177,609261720.5886099,164842.197713172,485067.521915648,613489932.58774
San Luis Obispo,0.0,0.0,0.0,0.0,0.0,0.0
Solano,38550.12119323,105147.223508484,73236020.39928,41557.707263453,113887.203165017,78026123.65045
Stanislaus,84356.806880267,283789.803404633,325102488.650493,86706.120423215,292872.833745824,331237400.2669656
Sutter,53730.44881768838,180782.40738310866,156933009.2491795,83340.042463578,298363.389677127,207319293.11014038
Tehama,8670.232445280324,26757.779783838032,26437823.398993913,9100.615476568,28111.661243732,27139312.2804237
Tulare,47415.81088468726,175392.23304878775,313638544.68144566,50201.51901682,185004.164164058,320018938.8629647
Tuolumne,37.50804833,140.570345712,163070.4393817,37.779039974,142.055306189,164429.60922379998
Yolo,136026.27113447533,377286.69443562086,404732575.0554102,159933.018599059,447754.595629794,451210438.3216372
Yuba,8349.380211855,31822.82650887,21218193.129928,8562.691492211,32793.94364687,21619568.851852
