Year,Change in groundwater storage,Cummulative change in groundwater storage
1988,-3068.7270053725897,-3068.7270053725897
1989,-3152.701925739485,-6221.428931112075
1990,-5106.560150188749,-11327.989081300824
1991,-4171.9006417272385,-15499.889723028064
1992,-4868.091233456308,-20367.98095648437
1993,2302.218258574069,-18065.7626979103
1994,-3184.0502944233676,-21249.812992333667
1995,3711.2283254558542,-17538.584666877814
1996,900.1186907108215,-16638.465976166994
1997,2570.498532027955,-14067.967444139038
1998,4652.651845272183,-9415.315598866855
1999,-1790.702916574713,-11206.018515441569
2000,-874.9282323516612,-12080.94674779323
2001,-3130.0810314081773,-15211.027779201408
2002,-3818.029954980608,-19029.057734182017
2003,-2136.494803503462,-21165.55253768548
2004,-3090.3172081934463,-24255.869745878925
2005,2696.402290344814,-21559.46745553411
2006,2338.1815138325846,-19221.285941701528
2007,-4433.410251371503,-23654.696193073032
2008,-4916.345020766757,-28571.041213839788
2009,-5215.382400753733,-33786.42361459352
2010,-907.688561076719,-34694.11217567024
2011,5180.979882230336,-29513.132293439907
2012,-3957.457119997004,-33470.58941343691
2013,-5221.125889063861,-38691.71530250077
2014,-8726.469085215018,-47418.18438771579
2015,-8677.306205921228,-56095.49059363702
2016,-3755.361504222181,-59850.8520978592
2017,4363.054304517426,-55487.79779334177
,,
Data from:,https://www.ppic.org/data-set/ppic-san-joaquin-valley-water-balance-1988-2017/,
