County,MapDate,D0_only,D1_only,D2_only,D3_only,D4_only,dominant_drought
Alameda County,20060131,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060207,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060214,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060221,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060228,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060307,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060314,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060321,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060328,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060404,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060411,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060418,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060425,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060502,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060509,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060516,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060523,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060530,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060606,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060613,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060620,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060627,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060704,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060711,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060718,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060725,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060801,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060808,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060815,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060822,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060829,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060905,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060912,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060919,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20060926,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061003,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061010,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061017,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061024,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061031,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061107,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061114,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061121,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061128,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061205,0.0,0.0,0.0,0.0,0.0,None
Alameda County,20061212,0.0,0.0,0.0,0.0,0.0,None
