COUNTY,crop,xland,price,yld,revenue
Alameda,Almonds Pistachios,1527.869394,5048.813281,1.1665,8998296.182
Alameda,Other Deciduous Orchard,43.65416473,3295.706651,1.803375,259453.9436
Alameda,Subtropical,176.9458073,975.4182884,3.856666667,665645.9207
Alameda,Vineyards,2836.622596,1742.626965,5.62,27780643.64
Alpine,Other Deciduous Orchard,2.03478733,2762.559242,1.038166667,5835.763794
Amador,Other Deciduous Orchard,466.1587373,1547.558299,1.132,816633.6549
Amador,Subtropical,31.42464007,884.4262232,1.9525,54265.39462
Amador,Vineyards,3708.162607,1655.631793,3.216,19744155.73
Butte,Almonds Pistachios,36841.74289,4574.912756,0.904,152367174.6
Butte,Other Deciduous Orchard,63539.76687,1519.83025,1.97,190242229.7
Butte,Subtropical,4009.123478,864.1684364,3.658,12673353.05
Butte,Vineyards,201.246893,1539.615805,5.008,1551693.229
Calaveras,Almonds Pistachios,275.1520946,4653.669265,0.47,601819.4176
Calaveras,Other Deciduous Orchard,928.8250039,1902.148628,1.075,1899270.447
Calaveras,Subtropical,237.3512929,835.5139505,0.325,64450.85283
Calaveras,Vineyards,840.9935737,1606.635895,2.608,3523852.566
Colusa,Almonds Pistachios,70402.35213,4919.748273,0.878,304105704.6
Colusa,Other Deciduous Orchard,25267.55106,1723.149448,2.068,90040237.42
Colusa,Subtropical,431.344164,874.4821215,3.818,1440160.136
Colusa,Vineyards,1363.005073,985.6814455,6.466,8686998.646
Contra Costa,Almonds Pistachios,358.4869782,4784.142919,0.847333333,1453221.523
Contra Costa,Other Deciduous Orchard,2177.474178,5011.750372,1.634,17831771.77
Contra Costa,Subtropical,189.222595,1154.433764,3.55,775479.5818
Contra Costa,Vineyards,1944.209666,1004.416712,5.15,10056902.9
Del Norte,Other Deciduous Orchard,1.07380461,728.4072243,2.551,1995.308107
El Dorado,Other Deciduous Orchard,837.0718031,4837.970798,0.9075,3675129.013
El Dorado,Subtropical,52.17106741,1435.29054,2.739,205098.0716
El Dorado,Vineyards,2434.230004,1822.414866,2.4975,11079351.92
Fresno,Almonds Pistachios,430378.3115,4737.846389,1.138,2320457482
Fresno,Other Deciduous Orchard,56179.85818,1728.705648,1.794,174230478.1
Fresno,Subtropical,52740.29003,582.7211706,16.474,506293523.5
Fresno,Vineyards,147940.4853,450.0257333,10.23,681082969.7
Glenn,Almonds Pistachios,58679.20324,4618.967661,0.842,228213442.1
Glenn,Other Deciduous Orchard,39887.8884,1563.579605,2.08,129725208.7
Glenn,Subtropical,8659.591371,1118.787935,3.95,38268573.08
Glenn,Vineyards,2.48784679,1752.321413,4.641916667,20236.46914
Humboldt,Other Deciduous Orchard,66.79669325,904.7425303,1.544,93309.8015
Humboldt,Subtropical,0.527154,1573.770112,2.636,2186.876236
Humboldt,Vineyards,128.337117,2142.389044,2,549896.067
Imperial,Other Deciduous Orchard,25.88100531,3003.392312,2.84575,221202.4593
Imperial,Subtropical,10345.79657,3330.562297,3.144,108333814
Imperial,Vineyards,143.6369568,2618.834293,4.095833333,1540694.353
Inyo,Other Deciduous Orchard,5.30855836,2660.012495,1.781,25149.20102
Inyo,Subtropical,22.22585275,839.4971956,14.5735,271920.248
Kern,Almonds Pistachios,372526.7386,5218.470112,1.174,2282279071
Kern,Other Deciduous Orchard,17128.80033,1632.856883,1.536,42960198.94
Kern,Subtropical,62993.53535,1062.045455,16.13,1079129226
Kern,Vineyards,85056.36119,593.061263,16.544,834539464.3
Kings,Almonds Pistachios,89472.86605,4849.023718,1.138,493728184.4
Kings,Other Deciduous Orchard,31002.87945,1749.546401,2.026,109892217.7
Kings,Subtropical,1710.273482,1744.574278,11.8236,35278064.97
Kings,Vineyards,6035.201637,412.9981437,13.77,34322097.8
Lake,Almonds Pistachios,38.53840527,4600.843207,0.846666667,150121.7555
Lake,Other Deciduous Orchard,6644.744136,1840.276444,0.256,3130410.523
Lake,Subtropical,105.0456749,1732.196526,0.39,70964.30373
Lake,Vineyards,12239.99548,1948.958541,4.425,105559453.5
Los Angeles,Almonds Pistachios,22.54432163,5686.47823,0.727,93199.79636
Los Angeles,Other Deciduous Orchard,400.703481,3462.709983,1.677,2326870.945
Los Angeles,Subtropical,148.041473,1714.311605,9.160666667,2324878.403
Los Angeles,Vineyards,323.7676266,1195.329088,8.632,3340660.497
Madera,Almonds Pistachios,213409.2201,4716.420998,1.124,1131337165
Madera,Other Deciduous Orchard,13746.69578,1956.593316,1.642,44164370.02
Madera,Subtropical,7560.079232,1139.43816,2.768,23844223.99
Madera,Vineyards,57576.85363,395.2870153,11.39,259229368.1
Marin,Other Deciduous Orchard,7.97870048,2348.396124,2.269333333,42520.83744
Marin,Subtropical,68.45508869,2636.14942,2.366,426963.255
Marin,Vineyards,170.1696844,3850.567178,1.666666667,1092083.002
Mariposa,Other Deciduous Orchard,13.43535802,1893.191927,1.699166667,43219.51285
Mariposa,Subtropical,43.46586116,988.9603823,3.604,154921.5969
Mariposa,Vineyards,61.79857201,1562.08504,0.52,50198.00491
Mendocino,Other Deciduous Orchard,1553.440118,904.7425303,1.544,2170035.401
Mendocino,Subtropical,119.2893349,1313.13497,2.570666667,402676.9314
