County,MapDate,D0_only,D1_only,D2_only,D3_only,D4_only,dominant_drought
Alameda County,20210803,0.0,0.0,0.0,0.9000000000000057,99.1,D4
Alpine County,20210803,0.0,0.0,0.0,100.0,0.0,D3
Amador County,20210803,0.0,0.0,0.0,14.909999999999997,85.09,D4
Butte County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Calaveras County,20210803,0.0,0.0,0.0,2.530000000000001,97.47,D4
Colusa County,20210803,0.0,0.0,0.0,2.019999999999996,97.98,D4
Contra Costa County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Del Norte County,20210803,0.0,72.7,8.02,19.28,0.0,D3
El Dorado County,20210803,0.0,0.0,0.0,39.38,60.62,D4
Fresno County,20210803,0.0,0.0,0.0,1.9699999999999989,98.03,D4
Glenn County,20210803,0.0,0.0,0.0,14.379999999999995,85.62,D4
Humboldt County,20210803,0.0,0.0,27.909999999999997,72.09,0.0,D3
Imperial County,20210803,0.0,68.55,31.45,0.0,0.0,D2
Inyo County,20210803,0.0,0.0,0.0,7.650000000000006,92.35,D4
Kern County,20210803,0.0,0.0,0.0,10.590000000000003,89.41,D4
Kings County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Lake County,20210803,0.0,0.0,0.0,25.97,74.03,D4
Lassen County,20210803,0.0,0.0,0.0,99.22,0.78,D4
Los Angeles County,20210803,0.0,1.4099999999999966,0.010000000000005116,78.59,19.99,D4
Madera County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Marin County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Mariposa County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Mendocino County,20210803,0.0,0.0,0.0,80.39,19.61,D4
Merced County,20210803,0.0,0.0,0.0,13.959999999999994,86.04,D4
Modoc County,20210803,0.0,0.0,0.0,95.1,4.9,D4
Mono County,20210803,0.0,0.0,0.0,55.59,44.41,D4
Monterey County,20210803,0.0,0.0,0.0,97.52,2.48,D4
Napa County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Nevada County,20210803,0.0,0.0,0.0,41.64,58.36,D4
Orange County,20210803,0.0,0.0,95.69,4.31,0.0,D3
Placer County,20210803,0.0,0.0,0.0,44.02,55.98,D4
Plumas County,20210803,0.0,0.0,0.0,66.25999999999999,33.74,D4
Riverside County,20210803,0.0,0.0,64.38,33.86,1.76,D4
Sacramento County,20210803,0.0,0.0,0.0,0.0,100.0,D4
San Benito County,20210803,0.0,0.0,0.0,94.43,5.57,D4
San Bernardino County,20210803,0.0,0.0,9.260000000000005,70.63999999999999,20.1,D4
San Diego County,20210803,0.0,89.6,10.4,0.0,0.0,D2
San Francisco County,20210803,0.0,0.0,0.7099999999999937,32.19000000000001,67.1,D4
San Joaquin County,20210803,0.0,0.0,0.0,0.0,100.0,D4
San Luis Obispo County,20210803,0.0,0.0,0.0,82.3,17.7,D4
San Mateo County,20210803,0.0,0.0,0.0,100.0,0.0,D3
Santa Barbara County,20210803,0.0,0.04000000000000625,0.0,99.57,0.39,D4
Santa Clara County,20210803,0.0,0.0,0.0,84.8,15.2,D4
Santa Cruz County,20210803,0.0,0.0,0.0,100.0,0.0,D3
Shasta County,20210803,0.0,0.0,0.0,20.290000000000006,79.71,D4
Sierra County,20210803,0.0,0.0,0.0,81.27,18.73,D4
Siskiyou County,20210803,0.0,1.1599999999999966,4.820000000000007,87.44999999999999,6.57,D4
Solano County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Sonoma County,20210803,0.0,0.0,0.0,0.6500000000000057,99.35,D4
Stanislaus County,20210803,0.0,0.0,0.0,5.219999999999999,94.78,D4
Sutter County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Tehama County,20210803,0.0,0.0,0.0,16.180000000000007,83.82,D4
Trinity County,20210803,0.0,0.0,0.0,100.0,0.0,D3
Tulare County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Tuolumne County,20210803,0.0,0.0,0.0,8.340000000000003,91.66,D4
Ventura County,20210803,0.0,1.25,0.0,13.829999999999998,84.92,D4
Yolo County,20210803,0.0,0.0,0.0,0.0,100.0,D4
Yuba County,20210803,0.0,0.0,0.0,0.0,100.0,D4
