region,crop_type,xland_base,xwater_base,revenue_base,xlandsc,xwatersc,revenuesc,shortage
Alameda,Alfalfa and pasture,90.89567065,364.9873232,108804.9945,90.89566382,364.9872824,108804.9866,0
Alameda,Field and grain,1628.968525,812.2845583,1251440.488,1628.9686,812.2845672,1251440.524,0
Alameda,Orchards,1748.469366,6258.914893,9923396.046,1748.469363,6258.914711,9923396.026,0
Alameda,Vegetables,164.9887184,222.6218821,1949688.806,164.9887185,222.6218764,1949688.807,0
Alameda,Vineyards,2836.622596,7125.903789,27780643.64,2836.622596,7125.903604,27780643.64,0
Alpine,Alfalfa and pasture,3570.583967,12647.18616,3002483.465,3570.584003,12647.18583,3002483.496,0
Alpine,Orchards,2.03478733,6.185753483,5835.763797,2.034787332,6.185753319,5835.763803,0
Alpine,Vegetables,1.80498658,4.002852288,3781.516461,1.804986606,4.002852215,3781.516515,0
Amador,Alfalfa and pasture,3941.454316,17822.32222,3482913.285,3941.454291,17822.32131,3482913.269,0
Amador,Field and grain,1572.712614,738.2294445,648943.2996,1572.712734,738.2294825,648943.349,0
Amador,Orchards,497.5833774,1708.357561,870899.0497,497.5833778,1708.357514,870899.0505,0
Amador,Vegetables,9.0629065,24.17741178,296836.9685,9.062906502,24.17741124,296836.9686,0
Amador,Vineyards,3708.162607,11489.68442,19744155.73,3708.162608,11489.68414,19744155.73,0
Butte,Alfalfa and pasture,7411.880459,29180.78471,6986406.432,7411.880472,29180.78468,6986406.443,0
Butte,Field and grain,5480.397691,6073.782912,4238038.227,5480.397736,6073.782936,4238038.26,0
Butte,Orchards,104390.6332,356496.8233,355282757.3,104390.6333,356496.8224,355282757.5,0
Butte,Rice,100258.8222,454611.3754,251672589.3,100258.8222,454611.3742,251672589.3,0
Butte,Vegetables,1494.124416,3746.267817,4743562.019,1494.124419,3746.267816,4743562.03,0
Butte,Vineyards,201.246893,535.6691841,1551693.229,201.246893,535.669183,1551693.229,0
Calaveras,Alfalfa and pasture,792.0573766,3643.612084,816481.1034,792.0573566,3643.611794,816481.0828,0
Calaveras,Field and grain,487.6662076,227.5727719,113555.2412,487.666271,227.5727918,113555.256,0
Calaveras,Orchards,1441.328391,5004.189258,2565540.717,1441.328384,5004.188924,2565540.711,0
Calaveras,Vegetables,16.88744847,45.05119805,553113.8394,16.88744847,45.05119641,553113.8394,0
Calaveras,Vineyards,840.9935737,2605.805565,3523852.567,840.9935734,2605.805462,3523852.566,0
Colusa,Alfalfa and pasture,11506.7643,42933.07991,17117995.87,11506.7643,42933.07975,17117995.87,0
Colusa,Field and grain,21166.05693,41310.8772,17586284.16,21166.05701,41310.87714,17586284.23,0
Colusa,Orchards,96101.24735,339777.2949,395586102.2,96101.24735,339777.2938,395586102.2,0
Colusa,Rice,124782.483,565810.918,342635624.2,124782.483,565810.9157,342635624.1,0
Colusa,Vegetables,20026.57944,49154.03668,75833394.99,20026.57947,49154.03656,75833395.07,0
Colusa,Vineyards,1363.005073,3627.980559,8686998.649,1363.005073,3627.980548,8686998.649,0
Contra Costa,Alfalfa and pasture,12153.73522,54478.75089,19211763.16,12153.73519,54478.75015,19211763.11,0
Contra Costa,Field and grain,12993.07796,25340.40381,65697779.99,12993.07808,25340.40366,65697780.04,0
Contra Costa,Orchards,2725.183751,9389.896713,20060472.87,2725.183751,9389.896628,20060472.87,0
Contra Costa,Vegetables,3675.572713,8539.760726,16137960.49,3675.572727,8539.760673,16137960.52,0
Contra Costa,Vineyards,1944.209666,5986.23648,10056902.9,1944.209666,5986.236429,10056902.9,0
Del Norte,Alfalfa and pasture,8200.14759,25004.68003,2746874.623,8200.147668,25004.67911,2746874.65,0
Del Norte,Field and grain,351.0409307,430.7494755,287406.89,351.0409402,430.7494785,287406.8978,0
Del Norte,Orchards,1.07380461,3.08750893,1995.308107,1.07380461,3.087508873,1995.308108,0
Del Norte,Vegetables,322.3115464,598.2518866,700886.6353,322.3115472,598.2518775,700886.637,0
El Dorado,Alfalfa and pasture,455.0391869,1865.262686,489764.7271,455.0392073,1865.262669,489764.749,0
El Dorado,Field and grain,13.11285309,10.34686248,8332.662703,13.11285667,10.34686483,8332.664975,0
El Dorado,Orchards,889.2428705,2965.871749,3880227.084,889.2428736,2965.871637,3880227.098,0
El Dorado,Vegetables,340.8181236,903.6660287,715876.4071,340.8181309,903.6660081,715876.4224,0
El Dorado,Vineyards,2434.230004,7041.791881,11079351.92,2434.230011,7041.791611,11079351.96,0
Fresno,Alfalfa and pasture,45722.99842,205634.9496,77549701.11,45722.99836,205634.9487,77549701,0
Fresno,Field and grain,122665.7152,254711.1328,197905472.7,122665.7154,254711.1323,197905472.8,0
Fresno,Orchards,539298.4597,2007623.691,3000981484,539298.4597,2007623.687,3000981484,0
Fresno,Rice,1708.258767,8257.585532,4652940.464,1708.258767,8257.585508,4652940.463,0
Fresno,Vegetables,143369.071,289605.3313,1477547245,143369.071,289605.3308,1477547245,0
Fresno,Vineyards,147940.4853,590430.9594,681082969.7,147940.4853,590430.9581,681082969.6,0
Glenn,Alfalfa and pasture,21214.05273,81358.0698,33615601.8,21214.05273,81358.06946,33615601.79,0
Glenn,Field and grain,27822.06724,52237.85778,26330886.75,27822.06736,52237.85766,26330886.84,0
Glenn,Orchards,107226.683,370528.5155,396207223.9,107226.683,370528.5142,396207223.9,0
Glenn,Rice,77153.95451,349845.1768,196055270.2,77153.95449,349845.1752,196055270.1,0
Glenn,Vegetables,3794.481699,8456.246866,9426671.655,3794.481706,8456.246845,9426671.666,0
Glenn,Vineyards,2.48784679,6.62202949,20236.46914,2.48784679,6.622029468,20236.46914,0
Humboldt,Alfalfa and pasture,36445.04893,111441.7164,7604179.734,36445.04902,111441.7141,7604179.753,0
Humboldt,Field and grain,2331.55182,5163.74777,2087912.979,2331.551827,5163.747749,2087912.985,0
Humboldt,Orchards,67.32384725,193.2531624,95496.67775,67.32384726,193.2531613,95496.67776,0
Humboldt,Vegetables,353.6302431,656.3834354,768991.1019,353.6302433,656.3834325,768991.1024,0
Humboldt,Vineyards,128.337117,287.9009411,549896.0668,128.337117,287.9009398,549896.0668,0
Imperial,Alfalfa and pasture,235851.5276,1678790.954,274815702.3,235851.5276,1678790.938,274815702.4,0
Imperial,Field and grain,94499.15139,374207.939,404239173.8,94499.15146,374207.9388,404239174,0
Imperial,Orchards,10371.67758,61721.34259,108555016.5,10371.67758,61721.34254,108555016.5,0
