#  California October-September Precipitation
# Units: Inches
Date,Value
196009,16.63
196109,17.63
196209,20.78
196309,24.88
196409,16.02
196509,25.14
196609,18.33
196709,28.32
196809,17.35
196909,31.96
197009,22.46
197109,23.72
197209,15.94
197309,25.37
197409,27.95
197509,22.06
197609,14.66
197709,10.86
197809,33.76
197909,20.12
198009,28.5
198109,17.01
198209,32.41
198309,40.41
198409,22.38
198509,18.24
198609,28.43
198709,13.97
198809,18.37
198909,19.19
199009,15.02
199109,17.03
199209,18.88
199309,31.14
199409,15.13
199509,36.18
199609,24.69
199709,26.62
199809,37.65
199909,20.82
200009,21.23
200109,16.67
200209,17.41
200309,24.8
200409,19.06
200509,29.94
200609,29.02
200709,13.96
200809,17.22
200909,17
201009,23.66
201109,28.82
201209,16.44
201309,16.95
201409,12.39
201509,16.78
201609,22.72
201709,35.02
201809,15.82
201909,28.37
202009,15.64
202109,11.13
202209,16.42
202309,30.89
202409,22.97
202509,20.44
