#  California October-September Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
196009,72
196109,70.6
196209,69.4
196309,69.6
196409,69
196509,68.7
196609,70.7
196709,69.6
196809,70.7
196909,69.1
197009,70.8
197109,69
197209,70
197309,68.5
197409,69.9
197509,68.7
197609,69.5
197709,70.8
197809,70.3
197909,69.8
198009,69.8
198109,72.6
198209,68.6
198309,68.1
198409,71.3
198509,69.3
198609,70.5
198709,71.2
198809,71.2
198909,70.9
199009,71.3
199109,70.2
199209,72.3
199309,69.6
199409,71.6
199509,68.9
199609,73.1
199709,71.7
199809,68.5
199909,69.3
200009,72.5
200109,71.3
200209,72
200309,71.9
200409,72.1
200509,69.9
200609,71.6
200709,72.2
200809,71.5
200909,72.4
201009,69.8
201109,69.8
201209,72.3
201309,72.4
201409,73.8
201509,74.2
201609,72.5
201709,71.7
201809,73.4
201909,70.4
202009,72.7
202109,74.1
202209,73.3
202309,69.5
202409,72.8
202509,72.9
